Id,Point_Id,Date,Date_Previous,Direct,Estimate,Units,Cost,Batch,Standing_Charge,Standing_Charge_2,Other_Charge,VAT,Climate_Change_Levy,Climate_Change_Levy_Rate,M1_Present,M1_Previous,M1_Factor,M1_Units,M2_Present,M2_Previous,M2_Factor,M2_Units,M3_Present,M3_Previous,M3_Factor,M3_Units,M4_Present,M4_Previous,M4_Factor,M4_Units,Water_Factor,Water_Units,Water_Cost_Rate,Water_Cost,Sewerage_Factor,Sewerage_Units,Sewerage_Cost_Rate,Sewerage_Cost,Last_Update,Last_User,Rates,Rates_Cost_Rate,Rates_Cost,Trade_Effluent_Cost,Surface_Water_Cost,Environmental_Cost,Note,Date_Paid,Date_TaxPoint,Invoice_Number,Locked,Passed_To_Accounts,Status,EDI,SupplierName,Number,Standing_Charge_Rate,Standing_Charge_Rate_2,B1_Present,B1_Previous,B1_Factor,B1_Units,B2_Present,B2_Previous,B2_Factor,B2_Units,Trade_Effluent_Factor,Trade_Effluent_Units,Trade_Effluent_Cost_Rate,Rates_Road_Cost_Rate,Rates_Road_Cost,Highway_Cost,Volume_Cost,Invoice_Period,Standing_Charge_Period,Meter_Size_1,Meter_Size_1_Supply_Rate,Meter_Size_1_Waste_Rate,Meter_Size_2,Meter_Size_2_Supply_Rate,Meter_Size_2_Waste_Rate,Meter_Size_Supply,Meter_Size_Waste,Standing_Charge_Date,Standing_Charge_Date_Previous,Suspended_Solids,Chemical_Oxygen_Demand,Exclude_From_Reports,Savings_Estimated,Savings_Actual,Link_1,Checksum,Invoice_Received,Custom_1,Non_Vatable_Charges,Custom_Text_1,DisableCalculation,Tariff_Cost,Misc_Cost,M1_Read_Date,M1_Read_Code,M2_Read_Date,M2_Read_Code,M3_Read_Date,M3_Read_Code,M4_Read_Date,M4_Read_Code,B1_Read_Date,B1_Read_Code,B2_Read_Date,B2_Read_Code,Screen_Format,Record_Source
18,414,2017-03-03 00:00:00.000,2017-02-11 00:00:00.000,D,NULL,15081,0,98,0,0,0,0,0,0,9930174,9915093,1,15081,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2017-03-03 00:00:00.000,largsshop@satcol.org,0,0,0,0,0,0,NULL,NULL,2017-03-03 00:00:00.000,NULL,0,0,0,,NULL,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-03-03 00:00:00.000,2017-02-11 00:00:00.000,0,0,0,0,0,,-639031073,NULL,0,0,,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20,NULL
19,425,2017-03-09 00:00:00.000,2017-02-11 00:00:00.000,D,NULL,2123,0,102,0,0,0,0,0,0,1536862,1534739,1,2123,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2017-03-09 00:00:00.000,johnstoneshop@satcol.org,0,0,0,0,0,0,NULL,NULL,2017-03-09 00:00:00.000,NULL,0,0,0,,NULL,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-03-09 00:00:00.000,2017-02-11 00:00:00.000,0,0,0,0,0,,726364986,NULL,0,0,,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20,NULL
20,397,2017-03-15 00:00:00.000,2017-03-15 00:00:00.000,D,NULL,0,0,102,0,0,0,0,0,0,142708,142708,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2017-03-15 00:00:00.000,dalkeithshop@satcol.org,0,0,0,0,0,0,NULL,NULL,2017-03-15 00:00:00.000,NULL,0,0,0,,NULL,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-03-15 00:00:00.000,2017-03-15 00:00:00.000,0,0,0,0,0,,668469849,NULL,0,0,,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20,NULL
21,422,2017-03-17 00:00:00.000,2017-02-09 00:00:00.000,D,NULL,4212,0,102,0,0,0,0,0,0,1121904,1117692,1,4212,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2017-03-17 00:00:00.000,coatbridgeshop@satcol.org,0,0,0,0,0,0,NULL,NULL,2017-03-17 00:00:00.000,NULL,0,0,0,,NULL,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-03-17 00:00:00.000,2017-02-09 00:00:00.000,0,0,0,0,0,,-1607031387,NULL,0,0,,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20,NULL
5,422,2017-02-09 00:00:00.000,2017-02-09 00:00:00.000,D,NULL,0,0,75,0,0,0,0,0,0,1117692,1117692,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2017-02-10 00:00:00.000,coatbridgeshop@satcol.org,0,0,0,0,0,0,NULL,NULL,2017-02-09 00:00:00.000,NULL,0,0,0,,NULL,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-02-09 00:00:00.000,2017-02-09 00:00:00.000,0,0,0,0,0,,-247980866,NULL,0,0,,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20,NULL
6,385,2017-02-10 00:00:00.000,2017-02-10 00:00:00.000,D,NULL,0,0,75,0,0,0,0,0,0,2902,2902,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2017-02-10 00:00:00.000,montroseshop@satcol.org,0,0,0,0,0,0,NULL,NULL,2017-02-10 00:00:00.000,NULL,0,0,0,,NULL,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-02-10 00:00:00.000,2017-02-10 00:00:00.000,0,0,0,0,0,,-1552552708,NULL,0,0,,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20,NULL
7,418,2017-02-10 00:00:00.000,2017-02-10 00:00:00.000,D,NULL,0,0,75,0,0,0,0,0,0,1086,1086,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2017-02-10 00:00:00.000,cuparshop@satcol.org,0,0,0,0,0,0,NULL,NULL,2017-02-10 00:00:00.000,NULL,0,0,0,,NULL,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-02-10 00:00:00.000,2017-02-10 00:00:00.000,0,0,0,0,0,,196002181,NULL,0,0,,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20,NULL
8,403,2017-02-10 00:00:00.000,2017-02-10 00:00:00.000,D,NULL,0,0,75,0,0,0,0,0,0,1158658,1158658,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2017-02-10 00:00:00.000,alloashop@satcol.org,0,0,0,0,0,0,NULL,NULL,2017-02-10 00:00:00.000,NULL,0,0,0,,NULL,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-02-10 00:00:00.000,2017-02-10 00:00:00.000,0,0,0,0,0,,171821939,NULL,0,0,,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20,NULL
9,414,2017-02-11 00:00:00.000,2017-02-11 00:00:00.000,D,NULL,0,0,75,0,0,0,0,0,0,9915093,9915093,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2017-02-11 00:00:00.000,largsshop@satcol.org,0,0,0,0,0,0,NULL,NULL,2017-02-11 00:00:00.000,NULL,0,0,0,,NULL,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-02-11 00:00:00.000,2017-02-11 00:00:00.000,0,0,0,0,0,,1590456512,NULL,0,0,,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20,NULL
10,413,2017-02-11 00:00:00.000,2017-02-11 00:00:00.000,D,NULL,0,0,75,0,0,0,0,0,0,407666,407666,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2017-02-11 00:00:00.000,saltcoatsshop@satcol.org,0,0,0,0,0,0,NULL,NULL,2017-02-11 00:00:00.000,NULL,0,0,0,,NULL,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-02-11 00:00:00.000,2017-02-11 00:00:00.000,0,0,0,0,0,,735780302,NULL,0,0,,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20,NULL
11,425,2017-02-11 00:00:00.000,2017-02-11 00:00:00.000,D,NULL,0,0,75,0,0,0,0,0,0,1534739,1534739,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2017-02-11 00:00:00.000,johnstoneshop@satcol.org,0,0,0,0,0,0,NULL,NULL,2017-02-11 00:00:00.000,NULL,0,0,0,,NULL,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-02-11 00:00:00.000,2017-02-11 00:00:00.000,0,0,0,0,0,,1182518771,NULL,0,0,,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20,NULL
22,418,2017-03-24 00:00:00.000,2017-02-22 00:00:00.000,D,NULL,3040,0,104,0,0,0,0,0,0,5071,2031,1,3040,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2017-03-24 00:00:00.000,cuparshop@satcol.org,0,0,0,0,0,0,NULL,NULL,2017-03-24 00:00:00.000,NULL,0,0,0,,NULL,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-03-24 00:00:00.000,2017-02-22 00:00:00.000,0,0,0,0,0,,1946229789,NULL,0,0,,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20,NULL
23,410,2017-03-30 00:00:00.000,2017-03-02 00:00:00.000,D,NULL,140,0,139,0,0,0,0,0,0,855,715,1,140,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2017-03-30 00:00:00.000,cambuslangshop@satcol.org,0,0,0,0,0,0,NULL,NULL,2017-03-30 00:00:00.000,NULL,0,0,0,,NULL,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-03-30 00:00:00.000,2017-03-02 00:00:00.000,0,0,0,0,0,,1300830164,NULL,0,0,,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20,NULL
24,416,2017-04-01 00:00:00.000,2017-03-01 00:00:00.000,D,NULL,0,0,139,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2017-04-03 00:00:00.000,inverkeithingshop@satcol.org,0,0,0,0,0,0,NULL,NULL,2017-04-01 00:00:00.000,NULL,0,0,0,,NULL,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-04-01 00:00:00.000,2017-03-01 00:00:00.000,0,0,0,0,0,,740311037,NULL,0,0,,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20,NULL
25,414,2017-04-05 00:00:00.000,2017-03-03 00:00:00.000,D,NULL,22475,0,139,0,0,0,0,0,0,9952649,9930174,1,22475,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2017-04-05 00:00:00.000,largsshop@satcol.org,0,0,0,0,0,0,NULL,NULL,2017-04-05 00:00:00.000,NULL,0,0,0,,NULL,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-04-05 00:00:00.000,2017-03-03 00:00:00.000,0,0,0,0,0,,222548776,NULL,0,0,,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20,NULL
26,429,2017-04-07 00:00:00.000,2017-04-07 00:00:00.000,D,NULL,0,0,144,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2017-04-07 00:00:00.000,glenrothesshop@satcol.org,0,0,0,0,0,0,NULL,NULL,2017-04-07 00:00:00.000,NULL,0,0,0,,NULL,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-04-07 00:00:00.000,2017-04-07 00:00:00.000,0,0,0,0,0,,1021830377,NULL,0,0,,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20,NULL
27,413,2017-04-08 00:00:00.000,2017-02-11 00:00:00.000,D,NULL,3271,0,144,0,0,0,0,0,0,410937,407666,1,3271,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2017-04-08 00:00:00.000,saltcoatsshop@satcol.org,0,0,0,0,0,0,NULL,NULL,2017-04-08 00:00:00.000,NULL,0,0,0,,NULL,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-04-08 00:00:00.000,2017-02-11 00:00:00.000,0,0,0,0,0,,1208743618,NULL,0,0,,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20,NULL
28,425,2017-04-12 00:00:00.000,2017-03-09 00:00:00.000,D,NULL,13863621,0,144,0,0,0,0,0,0,15400483,1536862,1,1.386362E+07,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2017-04-12 00:00:00.000,johnstoneshop@satcol.org,0,0,0,0,0,0,NULL,NULL,2017-04-12 00:00:00.000,NULL,0,0,0,,NULL,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-04-12 00:00:00.000,2017-03-09 00:00:00.000,0,0,0,0,0,,422780976,NULL,0,0,,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20,NULL
29,401,2017-04-12 00:00:00.000,2016-12-02 00:00:00.000,D,NULL,60858,0,144,0,0,0,0,0,0,3151693,3090835,1,60858,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2017-04-12 00:00:00.000,newingtonshop@satcol.org,0,0,0,0,0,0,NULL,NULL,2017-04-12 00:00:00.000,NULL,0,0,0,,NULL,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-04-12 00:00:00.000,2016-12-02 00:00:00.000,0,0,0,0,0,,-1696071313,NULL,0,0,,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20,NULL
30,418,2017-04-21 00:00:00.000,2017-03-24 00:00:00.000,D,NULL,2127,0,147,0,0,0,0,0,0,7198,5071,1,2127,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2017-04-21 00:00:00.000,cuparshop@satcol.org,0,0,0,0,0,0,NULL,NULL,2017-04-21 00:00:00.000,NULL,0,0,0,,NULL,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-04-21 00:00:00.000,2017-03-24 00:00:00.000,0,0,0,0,0,,-1341223534,NULL,0,0,,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20,NULL
31,392,2017-04-21 00:00:00.000,2017-02-22 00:00:00.000,D,NULL,2096326,0,147,0,0,0,0,0,0,2324276,227950,1,2096326,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2017-04-21 00:00:00.000,edinburghforrestshop@satcol.org,0,0,0,0,0,0,NULL,NULL,2017-04-21 00:00:00.000,NULL,0,0,0,,NULL,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-04-21 00:00:00.000,2017-02-22 00:00:00.000,0,0,0,0,0,,429236440,NULL,0,0,,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20,NULL
32,416,2017-05-03 00:00:00.000,2017-04-01 00:00:00.000,D,NULL,0,0,161,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2017-05-03 00:00:00.000,inverkeithingshop@satcol.org,0,0,0,0,0,0,NULL,NULL,2017-05-03 00:00:00.000,NULL,0,0,0,,NULL,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-05-03 00:00:00.000,2017-04-01 00:00:00.000,0,0,0,0,0,,-1921167652,NULL,0,0,,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20,NULL
33,414,2017-05-03 00:00:00.000,2017-04-05 00:00:00.000,D,NULL,16844,0,161,0,0,0,0,0,0,9969493,9952649,1,16844,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2017-05-03 00:00:00.000,largsshop@satcol.org,0,0,0,0,0,0,NULL,NULL,2017-05-03 00:00:00.000,NULL,0,0,0,,NULL,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-05-03 00:00:00.000,2017-04-05 00:00:00.000,0,0,0,0,0,,2143673797,NULL,0,0,,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20,NULL
