Id,Type,Code,Name,Address1,Address2,Town,County,Country,PostCode,Telephone,FAX,Group_1,Group_2,Group_3,Group_4,Text_1,Text_2,Text_3,Text_4,Text_5,Number_1,Number_2,Number_3,Number_4,Number_5,Notes,Last_Update,Last_User,EMailNumber,Link_1,Link_2,Link_3,Link_4,Link_5,Checksum,NI_Building_Type,NI_Building_Category,Status,Number_6,Number_7,Number_8,Number_9,Number_10,Text_6,Text_7,Text_8,Text_9,Text_10,Factor_Region_Id,Latitude,Longitude
14,*,BBA1096-0437,SAT : Southbourne (614),45a Southbourne Grove,Southbourne,Bournemouth,,,BH6 3QT,01202 430537,,0,0,0,72,04/04/2020,,,,614,111,0,0,0,0,,2022-05-12 10:53:57.000,paul.mallett,southbourneshop@satcol.org,,,,,,950024117,0,0,0,0,0,0,0,0,,,,,,280,0,0
15,*,BBA1096-0440,SAT : Polegate (22),Unit 4,The Centre,Polegate,East Sussex,,BN26 6AQ,01323 482090,,0,0,0,71,04/04/2020,,,,22,89,0,0,0,0,,2022-05-12 10:53:59.000,paul.mallett,polegateshop@satcol.org,,,,,,1441941184,0,0,0,0,0,0,0,0,,,,,,280,0,0
16,*,BBA1096-0942,SAT : Hailsham (772),Unit 1,The Quintins,Hailsham,,,BN27 1DP,01323 848422,,0,0,0,71,04/04/2020,,,,772,78,0,0,0,0,,2022-05-12 10:58:29.000,paul.mallett,hailshamshop@satcol.org,,,,,,-1558489225,0,0,0,0,0,0,0,0,,,,,,280,0,0
17,*,BBA1096-1056,SAT : Beckenham (787),250-252 High Street,Beckenham,Kent,,,BR3 1DZ,02086507360,,0,0,0,70,04/04/2020,,,,787,83,0,0,0,0,,2022-05-12 10:58:50.000,paul.mallett,beckenhamshop@satcol.org,,,,,,736929309,0,0,0,0,0,0,0,0,,,,,,280,0,0
18,*,BBA1096-0441,SAT : West Wickham (663),17 High Street,,West Wickham,,,BR4 0LP,0208 777 9094,,0,0,0,70,04/04/2020,,,,663,130,0,0,0,0,,2022-05-12 10:54:01.000,paul.mallett,westwickhamshop@satcol.org,,,,,,-1393986301,0,0,0,0,0,0,0,0,,,,,,280,0,0
19,*,BBA1096-0442,SAT : Penrith (644),1-2 Queen Street,,Penrith,,,CA11 7XE,01768 867429,,0,0,0,77,04/04/2020,,,,644,222,0,0,0,0,,2022-05-12 10:54:02.000,paul.mallett,penrithshop@satcol.org,,,,,,-988910921,0,0,0,0,0,0,0,0,,,,,,280,0,0
27,*,BBA1096-0446,SAT : Colchester (50),122 High Street,,Colchester,Essex,,CO1 1SZ,01206 367 272,,0,0,0,81,04/04/2020,,,,50,282,0,0,0,0,,2022-05-12 10:54:08.000,paul.mallett,colchestershop@satcol.org,,,,,,1794435232,0,0,0,0,0,0,0,0,,,,,,280,0,0
28,*,BBA1096-0970,SAT : Caterham (778),51 Croydon Road,,Caterham,,,CR3 6PD,01883 349509,,0,0,0,70,04/04/2020,,,,778,82,0,0,0,0,,2022-05-12 10:58:35.000,paul.mallett,caterham.shop@satcol.org,,,,,,1694235019,0,0,0,0,0,0,0,0,,,,,,280,0,0
457,*,BBA1596-0031,MPX : 6 Marble Arch TBS,6 Marble Arch,,London,,,W1H 7EJ,,,0,0,0,70,31/12/2020,,,,,0,0,0,0,0,,2022-07-19 08:58:51.000,becky.jardine,,,,,,,2124906510,0,0,276,0,0,0,0,0,,,,,,280,0,0
20,*,BBA1096-0443,SAT : Workington (637),Unit 3 Ritz Shopping Parade,Murray Road,Workington,Cumbria,,CA14 2AG,01900 66962,,0,0,0,77,04/04/2020,,,,637,341,0,0,0,0,,2022-05-12 10:54:03.000,paul.mallett,workingtonshop@satcol.org,,,,,,2084899585,0,0,0,0,0,0,0,0,,,,,,280,0,0
21,*,BBA1096-0444,SAT : Whitehaven (641),70 King Street,,Whitehaven,Cumbria,,CA28 7LE,01946 692702,,0,0,0,77,04/04/2020,,,,641,84,0,0,0,0,,2022-05-12 10:54:05.000,paul.mallett,whitehavenshop@satcol.org,,,,,,1378818042,0,0,0,0,0,0,0,0,,,,,,280,0,0
22,*,BBA1096-0816,SAT : Newmarket (703),10a The Rookery,The Guineas Shopping Centre,Newmarket,Suffolk,,CB8 8EQ,01638660699,,0,0,0,81,04/04/2020,,,,703,97,0,0,0,0,,2022-05-12 10:57:37.000,paul.mallett,newmarketshop@satcol.org,,,,,,-166607946,0,0,0,0,0,0,0,0,,,,,,280,0,0
23,*,BBA1096-1100,SAT : Moreton (790),246 Hoylake Road,Wirral,Merseyside,,,CH46 6AD,0151 678 0120,,0,0,0,76,04/04/2020,,,,790,130,0,0,0,0,,2022-05-12 10:58:55.000,paul.mallett,"moretonshop@satcol.org ",,,,,,1251014899,0,0,0,0,0,0,0,0,,,,,,280,0,0
24,*,BBA1096-0629,SAT : Ellesmere Port (669),37 Marina Drive,,Ellesmere Port,,,CH65 0AN,0151 357 1413,,0,0,0,76,04/04/2020,,,,669,72,0,0,0,0,,2022-05-12 10:57:13.000,paul.mallett,ellesmereportshop@satcol.org,,,,,,1564420115,0,0,0,0,0,0,0,0,,,,,,280,0,0
25,*,BBA1096-0939,SAT : Bishop Stortford (706),32 South Street,,Bishop's Stortford,,,CM23 3AZ,01279 506548,,0,0,0,81,04/04/2020,,,,706,82,0,0,0,0,,2022-05-12 10:58:26.000,paul.mallett,bishopsstortfordshop@satcol.org,,,,,,-1947839728,0,0,0,0,0,0,0,0,,,,,,280,0,0
26,*,BBA1096-0445,SAT : Maldon (602),70c High Street,Fullbridge,Maldon,Essex,,CM9 5ET,01621 843347,,0,0,0,81,04/04/2020,,,,602,135,0,0,0,0,,2022-05-12 10:54:06.000,paul.mallett,maldonshop@satcol.org,,,,,,-1795051004,0,0,0,0,0,0,0,0,,,,,,280,0,0
217,*,BBA1096-1122,SAT : Croydon (805),249 Lower Addiscombe Road,,Croydon,London,,CR0 6RD,0208 676 1921,,0,0,0,70,04/04/2020,,,,805,90,0,0,0,0,,2022-05-12 10:59:09.000,paul.mallett,croydonshop@satcol.org,,,,,,-1633949217,0,0,0,0,0,0,0,0,,,,,,280,0,0
218,*,BBA1096-1125,SAT : Wilmslow (804),16 Water lane,,Wilmslow,Cheshire,,SK9 5AA,016255 21581,,0,0,0,76,04/04/2020,,,,803,130,0,0,0,0,,2022-05-12 10:59:11.000,paul.mallett,wilmslowshop@satcol.org,,,,,,-200884918,0,0,0,0,0,0,0,0,,,,,,280,0,0
227,NULL,BBA1568-1077,WTW : White River Cinema,River Walk,,St Austell,Cornwall,,PL25 5AZ,01726 66301,,0,0,0,0,01/07/2020,60 days,,,,0,0,0,0,0,,2019-06-18 13:53:40.000,evonne.dent,,,,,,,-1371683985,0,0,0,0,0,0,0,0,,,,,,280,0,0
228,NULL,BBA1568-0987,WTW : Regal Cinema,The Platt,,Wadebridge,Cornwall,,PL27 7AD,01208 812791,,0,0,0,0,01/07/2020,60 days,,,,0,0,0,0,0,,2019-06-18 13:53:28.000,evonne.dent,,,,,,,-919754831,0,0,0,0,0,0,0,0,,,,,,280,0,0
229,NULL,BBA1568-0988,WTW : Lighthouse Cinema,King Street,,Newquay,Cornwall,,TR7 1AA,01637 878650,,0,0,0,0,01/07/2020,60 days,,,,0,0,0,0,0,,2019-06-18 13:53:22.000,evonne.dent,,,,,,,-1119030576,0,0,0,0,0,0,0,0,,,,,,280,0,0
230,NULL,BBA1568-1076,WTW : The Plaza Cinema,69 Lemon Street,,Truro,Cornwall,,TR1 2PN,01872 272894,,0,0,0,0,01/07/2020,60 days,,,,0,0,0,0,0,,2019-06-18 13:53:34.000,evonne.dent,,,,,,,921849239,0,0,0,0,0,0,0,0,,,,,,280,0,0
231,*,BBA1582-0001,WDD : The Angel Islington,The Angel Islington,,LONDON,,,N1 2AW,01234567890,,0,0,0,70,01/04/2018,,,,,0,0,0,0,0,,2019-10-08 14:32:42.000,evonne.dent,,,,,,,-1525089621,0,0,0,0,0,0,0,0,,,,,,280,0,0
232,*,BBA1582-0002,WDD : Pall Mall,Pall Mall,St James,LONDON,,,SW1Y 5JG,01234567890,,0,0,0,70,01/04/2018,,,,,0,0,0,0,0,,2019-10-08 14:32:33.000,evonne.dent,,,,,,,-893698252,0,0,0,0,0,0,0,0,,,,,,280,0,0
245,*,BBA0846-0371,OA : 3 Regent Street SITE CLOSED MAY 2016,3 Regent Street,,Rugby,Warwickshire,,CV21 1PE,01604 581614,,0,0,0,0,,,,,,0,0,0,0,0,,2022-06-13 13:34:49.000,becky.jardine,,,,,,,1400709884,0,0,276,0,0,0,0,0,,,,,,280,0,0
246,*,BBA0846-0372,OA : 266 Hillmorton Road SITE CLOSED MAY 2016,266 Hillmorton Road,,Rugby,Warwickshire,,CV22 5BW,01604 581614,,0,0,0,0,,,,,,0,0,0,0,0,,2022-06-13 13:44:09.000,becky.jardine,,,,,,,1651633594,0,0,276,0,0,0,0,0,,,,,,280,0,0
291,*,BBA1096-1153,SAT : Widnes (808),Unit 15," 27 Albert Square Shopping Centre",Widnes,Cheshire,,WA8 6JW,0151 420 8678,,0,0,0,76,04/04/2020,,,,808,130,0,0,0,0,,2022-05-12 10:59:15.000,paul.mallett,widnesshop@satcol.org,,,,,,-2062565306,0,0,0,0,0,0,0,0,,,,,,280,0,0
304,*,BBA1096-1137,SAT : Canvey Island (806),47  Furtherwick Road,,Canvey Island,Essex,,SS8 7AG,01268 698900,,0,0,0,81,04/04/2020,,,,806,107,0,0,0,0,,2022-05-12 10:59:12.000,paul.mallett,canveyislandshop@satcol.org,,,,,,-1182373567,0,0,0,0,0,0,0,0,,,,,,280,0,0
305,*,BBA1096-1141,SAT : Aldershot (809),28 Union Street,,Aldershot,Hampshire,,GU11 1EW,01252 316144,,0,0,0,72,04/04/2020,,,,809,165,0,0,0,0,,2022-05-12 10:59:14.000,paul.mallett,aldershotshop@satcol.org,,,,,,1531676012,0,0,0,0,0,0,0,0,,,,,,280,0,0
329,*,BBA1096-1218,SAT : Eccles (829),14 The Mall,Eccles,Manchester,Lancashire,,M30 0EA,0161 7070460,,0,0,0,76,04/04/2020,,,,829,115,0,0,0,0,,2022-05-12 10:59:42.000,paul.mallett,ecclesshop@satcol.org,,,,,,-864987301,0,0,0,0,0,0,0,0,,,,,,280,0,0
349,*,BBA1504-1216,"KFS : Percy House Small ","12258 Percy House ","Percy Street ","Newcastle Upon Tyne ",,,NE1 4QL,,,0,0,0,0,01/04/2018,,,,,0,0,0,0,0,,2022-06-14 10:26:23.000,becky.jardine,,,,,,,-461617991,0,0,276,0,0,0,0,0,,,,,,280,0,0
351,*,BBA1096-1222,SAT : Tonbridge (831),70 High Street,,Tonbridge,,,TN9 1EE,01732 363631,,0,0,0,0,04/04/2020,,,,831,136,0,0,0,0,,2022-05-12 10:59:46.000,paul.mallett,TonbridgeShop@satcol.org,,,,,,618658338,0,0,0,0,0,0,0,0,,,,,,280,0,0
29,*,BBA1096-0447,SAT : Purley (654),952 Brighton Road,,Purley,,,CR8 2LP,0208 660 3466,,0,0,0,70,04/04/2020,,,,654,75,0,0,0,0,,2022-05-12 10:54:09.000,paul.mallett,purleyshop@satcol.org,,,,,,1627247659,0,0,0,0,0,0,0,0,,,,,,280,0,0
30,*,BBA1096-0449,SAT : Nuneaton (27),21-25 Newdegate Street,,Nuneaton,Warks,,CV11 4EJ,02476 385908,,0,0,0,75,04/04/2020,,,,27,141,0,0,0,0,,2023-05-09 12:22:17.000,becky.jardine,nuneatonshop@satcol.org,,,,,,-1547927884,0,0,0,0,0,0,0,0,,,,,,280,0,0
31,*,BBA1096-1102,SAT : Coventry (792) CLOSED AUG 2020,270/272 Walsgrave Road,Coventry,Warwickshire,,,CV2 4BL,02476440032,,0,0,0,75,04/04/2020,,,,792,118,0,0,0,0,,2022-06-21 08:57:31.000,becky.jardine,coventryshop@satcol.org,,,,,,725502883,0,0,276,0,0,0,0,0,,,,,,280,0,0
32,*,BBA1096-1121,SAT : Leamington Spa (804),136 Parade,,Leamington Spa,,,CV32 4AG,01926 883874,,0,0,0,75,04/04/2020,,,,804,140,0,0,0,0,,2022-05-12 10:59:08.000,paul.mallett,leamingtonspashop@satcol.org,,,,,,191077052,0,0,278,0,0,0,0,0,,,,,,280,0,0
33,*,BBA1096-1013,SAT : Sandbach (782),11-13 Hightown,,Sandbach,,,CW11 1AD,01270 768369,,0,0,0,76,04/04/2020,,,,782,126,0,0,0,0,,2022-05-12 10:58:41.000,paul.mallett,sandbachshop@satcol.org,,,,,,557114871,0,0,0,0,0,0,0,0,,,,,,280,0,0
34,*,BBA1096-0450,SAT : Nantwich (621),13 Beam Street,,Nantwich,Cheshire,,CW5 5NA,01270 619474,,0,0,0,75,04/04/2020,,,,621,232,0,0,0,0,,2022-05-12 10:54:12.000,paul.mallett,nantwichshop@satcol.org,,,,,,1618998463,0,0,0,0,0,0,0,0,,,,,,280,0,0
35,*,BBA1096-0451,SAT : Montrose (405),110 High Street,,Montrose,,,DD10 8JE,01674 676498,,0,0,0,82,04/04/2020,,,,405,175,0,0,0,0,,2022-05-12 10:54:14.000,paul.mallett,montroseshop@satcol.org,,,,,,-420390942,0,0,0,0,0,0,0,0,,,,,,280,0,0
36,*,BBA1096-0452,SAT : Arbroath (34),118 High Street,,Arbroath,,,DD11 1HN,01241 873403,,0,0,0,82,04/04/2020,,,,34,176,0,0,0,0,,2022-05-12 10:54:15.000,paul.mallett,arbroathshop@satcol.org,,,,,,375260477,0,0,0,0,0,0,0,0,,,,,,280,0,0
37,*,BBA1096-0453,SAT : Broughty Ferry (Dundee) (618),205 Brook Street,,Broughty Ferry,Dundee,,DD5 2AG,01382 730093,,0,0,0,82,04/04/2020,,,,618,85,0,0,0,0,,2022-05-12 10:54:17.000,paul.mallett,broughtyferryshop@satcol.org,,,,,,1339129039,0,0,0,0,0,0,0,0,,,,,,280,0,0
38,*,BBA1096-0454,SAT : Forfar (603) CLOSED Jan 2021,7 Castle Street,,Forfar,,,DD8 3AE,01307 469324,,0,0,0,82,04/04/2020,,,,603,87,0,0,0,0,,2022-06-23 10:23:11.000,becky.jardine,forfarshop@satcol.org,,,,,,1993964641,0,0,276,0,0,0,0,0,,,,,,280,0,0
39,*,BBA1096-0455,SAT : Brechin (25),2-4 Bridge Street,,Brechin,,,DD9 6HZ,01356 625 010,,0,0,0,82,04/04/2020,,,,25,74,0,0,0,0,,2022-05-12 10:54:20.000,paul.mallett,brechinshop@satcol.org,,,,,,-1231877406,0,0,0,0,0,0,0,0,,,,,,280,0,0
40,*,BBA1096-0456,SAT : Burton on Trent (638) Closed Nov 2020,23 Station Street,,Burton-on-trent,,,DE14 1AU,01283 509074,,0,0,0,75,04/04/2020,,,,638,156,0,0,0,0,,2022-06-23 09:23:34.000,becky.jardine,burtonontrentshop@satcol.org,,,,,,-48875728,0,0,276,0,0,0,0,0,,,,,,280,0,0
41,*,BBA1096-0457,SAT : Ashbourne (600) CLOSED October 2020,14 Market Place,,Ashbourne,,,DE6 1ES,01335 347583,,0,0,0,75,04/04/2020,,,,600,156,0,0,0,0,,2022-05-12 10:54:23.000,paul.mallett,ashbourneshop@satcol.org,,,,,,538187906,0,0,0,0,0,0,0,0,,,,,,280,0,0
42,*,BBA1096-0458,SAT : Dumfries (631),159-161 High Street,,Dumfries,,,DG1 2QT,01387 259334,,0,0,0,77,04/04/2020,,,,631,117,0,0,0,0,,2022-05-12 10:54:24.000,paul.mallett,dumfriesshop@satcol.org,,,,,,545540942,0,0,0,0,0,0,0,0,,,,,,280,0,0
43,*,BBA1096-0459,SAT : Stranraer (658),54-56 Charlotte Street,,Stranraer,,,DG9 7EF,01776 705287,,0,0,0,77,04/04/2020,,,,658,175,0,0,0,0,,2022-05-12 10:54:26.000,paul.mallett,stranraershop@satcol.org,,,,,,-1059880811,0,0,0,0,0,0,0,0,,,,,,280,0,0
44,*,BBA1096-0460,SAT : Durham (56),Unit 2,58-62 North Road,Durham,,,DH1 4SQ,01913 846649,,0,0,0,79,04/04/2020,,,,56,199,0,0,0,0,,2022-05-12 10:54:28.000,paul.mallett,durhamshop@satcol.org,,,,,,-40606418,0,0,0,0,0,0,0,0,,,,,,280,0,0
45,*,BBA1096-0461,SAT : Chester Le Street (Durham) (613) CLOSED Aug 2020,56a Front Street,,Chester-le-street,,,DH3 3BD,01913 891626,,0,0,0,79,04/04/2020,,,,613,131,0,0,0,0,,2022-06-21 08:56:53.000,becky.jardine,chesterlestreetshop@satcol.org,,,,,,-1363810225,0,0,276,0,0,0,0,0,,,,,,280,0,0
46,*,BBA1096-1023,SAT : Consett (786),29 Middle Street,,Consett,,,DH8 5QP,01207583162,,0,0,0,79,04/04/2020,,,,786,161,0,0,0,0,,2022-05-12 10:58:45.000,paul.mallett,consettshop@satcol.org,,,,,,1220739,0,0,0,0,0,0,0,0,,,,,,280,0,0
47,*,BBA1096-0990,SAT : Stanley (781),4 Clifford Road,,Stanley,,,DH9 0AB,0120 7281542,,0,0,0,79,04/04/2020,,,,781,335,0,0,0,0,,2022-05-12 10:58:38.000,paul.mallett,stanleyshop@satcol.org,,,,,,-2099579863,0,0,0,0,0,0,0,0,,,,,,280,0,0
48,*,BBA1096-0462,SAT : Bishop Auckland (622),55 Newgate Street,,Bishop Auckland,,,DL14 7EW,01388 603540,,0,0,0,79,04/04/2020,,,,622,155,0,0,0,0,,2022-05-12 10:54:31.000,paul.mallett,bishopaucklandshop@satcol.org,,,,,,-1797837582,0,0,0,0,0,0,0,0,,,,,,280,0,0
50,*,BBA1096-0827,SAT : Conisbrough (742),52 Church Street,Conisbrough,Doncaster,,,DN12 3JJ,01709 869657,,0,0,0,80,04/04/2020,,,,742,76,0,0,0,0,,2022-05-12 10:57:43.000,paul.mallett,conisbroughshop@satcol.org,,,,,,-904298591,0,0,0,0,0,0,0,0,,,,,,280,0,0
355,*,BBA1585-0001,CYC : Allenview Road,Car Charge Point,Allenview Road,Wimborne,Dorset,,BH21 1AU,,,0,0,0,0,13/11/2018,30 days,,,,0,0,0,0,0,,2022-06-14 10:28:49.000,becky.jardine,,,,,,,-1196037876,0,0,276,0,0,0,0,0,,,,,,280,0,0
459,*,BBA1604-0001,AJL : Aiden Jones Ltd,The Old Print Works,8 Church Street,Biggleswade,,,SG18 0JS,01767 316367,,0,0,0,0,,,,,,0,0,0,0,0,,2024-01-11 14:54:11.000,becky.jardine,info@jonesfitness.co.uk,,,,,,1547626276,0,0,0,0,0,0,0,0,,,,,,280,0,0
461,*,BBA1096-1245,SAT : Braintree DC (982),"Unit 1, Anglia Way",,Braintree,,,CM7 3RG,01376 425900,,0,0,0,0,,,,,982,337,0,0,0,0,,2022-05-12 11:00:24.000,paul.mallett,Braintree.DC@satcol.org,,,,,,-1786858478,0,0,0,0,0,0,0,0,,,,,,280,0,0
1460,*,BBA1596-0034,MPX : Neo Bankside,62 Holland Street,,,London,,SE1 9JF,,,0,0,0,70,31/12/2021,,,,,0,0,0,0,0,,2021-05-11 15:58:50.000,kim.dring,,,,,,,1316999016,0,0,0,0,0,0,0,0,,,,,,0,0,0
49,*,BBA1096-1113,SAT : Newton Aycliffe (793),31 Beveridge Way,,Newton Aycliffe,County Durham,,DL5 4DU,01325 316198,,0,0,0,79,04/04/2020,,,,793,93,0,0,0,0,,2022-05-12 10:59:04.000,paul.mallett,newtonaycliffeshop@satcol.org,,,,,,1040388119,0,0,0,0,0,0,0,0,,,,,,280,0,0
51,*,BBA1096-0846,SAT : Yorkshire Warehouse (761),Church Road,Denaby Main,Doncaster,,,DN12 4AB,01709 863980,,0,0,0,80,04/04/2020,,,,761,137,0,0,0,0,,2022-10-06 10:53:11.000,becky.jardine,doncasterwarehouseshop@satcol.org,,,,,,-280245428,0,0,0,0,0,0,0,0,,,,,,280,0,0
52,*,BBA1096-0831,SAT : Goole (746),118 Boothferry Road,,Goole,East Yorkshire,,DN14 6AG,01405 760767,,0,0,0,80,04/04/2020,,,,746,67,0,0,0,0,,2022-05-12 10:57:49.000,paul.mallett,gooleshop@satcol.org,,,,,,-1203434141,0,0,0,0,0,0,0,0,,,,,,280,0,0
53,*,BBA1096-0463,SAT : Dudley (23),193 High Street,,Dudley,West Midlands,,DY1 1QE,01384 252985,,0,0,0,75,04/04/2020,,,,23,683,0,0,0,0,,2022-05-12 10:54:33.000,paul.mallett,dudleyshop@satcol.org,,,,,,1789589766,0,0,0,0,0,0,0,0,,,,,,280,0,0
54,*,BBA1096-0465,SAT : Kidderminster (607),3 Derrick Burchers Mall,Swan Centre,Kidderminster,,,DY10 2DN,01562 67630,,0,0,0,75,04/04/2020,,,,607,104,0,0,0,0,,2022-05-12 10:54:34.000,paul.mallett,kidderminstershop@satcol.org,,,,,,-1007183333,0,0,0,0,0,0,0,0,,,,,,280,0,0
55,*,BBA1096-0466,SAT : Stourbridge (608),23 Ryemarket Shopping Centre,,Stourbridge,,,DY8 1HJ,01384 371125,,0,0,0,75,04/04/2020,,,,608,118,0,0,0,0,,2022-05-12 10:54:35.000,paul.mallett,stourbridgeshop@satcol.org,,,,,,2030551593,0,0,0,0,0,0,0,0,,,,,,280,0,0
56,*,BBA1096-0467,SAT : Forrest Road (605) - CLOSED 28/03/2020,26 Forrest Road,,Edinburgh,,,EH1 2QN,0131 2267563,,0,0,0,82,04/04/2020,,,,605,179,0,0,0,0,,2022-06-21 08:58:09.000,becky.jardine,edinburghforrestshop@satcol.org,,,,,,-267985480,0,0,276,0,0,0,0,0,,,,,,280,0,0
57,*,BBA1096-0611,SAT : Bruntsfield Place (Edinburgh) (673) CLOSED March 2022,37 Bruntsfield Place,,Edinburgh,,,EH10 4HJ,0131 2290209,,0,0,0,82,04/04/2020,,,,673,115,0,0,0,0,,2022-06-23 15:07:14.000,paul.mallett,bruntsfieldshop@satcol.org,,,,,,-508362568,0,0,276,0,0,0,0,0,,,,,,280,0,0
58,*,BBA1096-0468,SAT : Dalry Road (Edinburgh) (19),113-115 Dalry Road,,Edinburgh,,,EH11 2DR,0131 3130947,,0,0,0,82,04/04/2020,,,,19,77,0,0,0,0,,2022-05-12 10:54:39.000,paul.mallett,edinburghdalryrdshop@satcol.org,,,,,,-228405517,0,0,0,0,0,0,0,0,,,,,,280,0,0
59,*,BBA1096-0469,SAT : Gorgie (300),254-256 Gorgie Road,,Edinburgh,,,EH11 2PL,0131 3377857,,0,0,0,82,04/04/2020,,,,300,104,0,0,0,0,,2022-05-12 10:54:40.000,paul.mallett,edinburghgorgieshop@satcol.org,,,,,,2066736902,0,0,0,0,0,0,0,0,,,,,,280,0,0
60,*,BBA1096-0470,SAT : Musselburgh  (606),124 High Street,,Mussleburgh,,,EH21 7EA,0131 6530087,,0,0,0,82,04/04/2020,,,,606,111,0,0,0,0,,2022-05-12 10:54:42.000,paul.mallett,musselburghshop@satcol.org,,,,,,-1623245484,0,0,0,0,0,0,0,0,,,,,,280,0,0
